,CNT,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST28Q10,ST28Q11,ST25Q01,ST25Q02,ST25Q03,ST25Q04,ST25Q05,ST26Q01,ST26Q02,ST26Q03,ST26Q04,ST26Q05,ST26Q06,ST26Q07,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST28Q09
68038,Principal,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,able to see what happens outside the school,None,Disagree,Disagree,Strongly  Agree,Strongly  Agree,Strongly  Agree,None,None
68039,Principal,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,they expose the students to some of the things they learn in class,they break the monotony hence students take them seriously,Agree,Agree,Agree,Agree,Agree,its an expensive programme,None
68040,Principal,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,None,None,Agree,Agree,Strongly  Agree,Agree,Strongly  Agree,None,motivate them to work hard
68041,Principal,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,None,they get encouraged and boost their confidence and self esteem,UnDecided,Agree,Agree,Agree,UnDecided,None,None
68042,Principal,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,UnDecided,Agree,Agree,UnDecided,Disagree,None,None,Agree,Agree,Agree,Agree,Agree,None,enhances competition among student
68043,Principal,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,UnDecided,help the student to learn more about their county,to add on the students experience,Strongly  Agree,Agree,Agree,Strongly  Agree,Agree,it helps the student understand themselves better and hence self actualisation,None
68044,Principal,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly  Agree,Agree,Agree,Agree,Agree,UnDecided,have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree,Agree,Agree,Strongly  Agree,Strongly  Agree,they give real life expereince of how they personally passed thus students gets inspired,its the most effective method to motivate students
68045,Principal,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,students are exposed to practical aspects of varoius subjects which can be applied to their learning,they are able to change the attitude of the students positively,Agree,Agree,Agree,Strongly  Agree,Strongly  Agree,they give real life expereince of how they personally passed thus students gets inspired,they encourage them to work harder to get incentives
68046,Principal,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,they expose the students to some of the things they learn in class,they break the monotony hence students take them seriously,Agree,Agree,Agree,Agree,Agree,its an expensive programme,None
68047,Principal,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,UnDecided,Agree,Agree,Agree,Agree,they make them work harder to secure slots,inorder to help them build self confidence,Agree,Agree,Disagree,Agree,Strongly  Agree,they encourage students hence are viable in academic improvement,they enhance competation hence better perfomance
68048,Teacher,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,UnDecided,Agree,Agree,Agree,Strongly  Agree,Disagree,encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly  Agree,Strongly  Agree,Agree,Agree,Agree,have postive influence on how learners have the interest on the area of specialization,helps in our school by having enough revision material and enough chemicals for practical work
68049,Teacher,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,UnDecided,Agree,Agree,UnDecided,Disagree,None,None,Agree,Agree,Agree,Agree,Agree,None,enhances competition among student
68050,Teacher,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,UnDecided,help the student to learn more about their county,to add on the students experience,Strongly  Agree,Agree,Agree,Strongly  Agree,Agree,it helps the student understand themselves better and hence self actualisation,None
68051,Teacher,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly  Agree,Agree,Agree,Agree,Agree,UnDecided,have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree,Agree,Agree,Strongly  Agree,Strongly  Agree,they give real life expereince of how they personally passed thus students gets inspired,its the most effective method to motivate students
68052,Teacher,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly Disagree,Agree,UnDecided,Agree,UnDecided,helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree,Agree,Agree,Agree,Agree,these forum should be more regular throughout learners study from form one to form four,increases competition and urge to work harder
68053,Teacher,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Disagree,Strongly  Agree,Strongly  Agree,Strongly Disagree,make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,they make the students have the motiv or develop positive attitude towards some challenging subjects,acts as a motivation amongest students
68054,Teacher,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,None,None,Agree,Agree,Agree,Agree,Agree,help them overcome their limitations,None
68055,Teacher,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly  Agree,Strongly  Agree,Agree,Agree,Strongly  Agree,Disagree,they become more exposed to reality,to change students attitude towards education,Agree,Agree,Strongly  Agree,Agree,Agree,it makes students have the right attitude towards education and highier goals,it has positive impact but may be shortlived
68056,Teacher,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,gives students confidence,the students get an opportunity to hear from others with different experience,Agree,Agree,Agree,Agree,Agree,offer quality inspiration,give the students a driving force
68057,Teacher,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly  Agree,Agree,None,None,Strongly  Agree,Strongly  Agree,Agree,Strongly  Agree,Strongly  Agree,None,None
68058,Teacher,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,UnDecided,Agree,Agree,Agree,Strongly  Agree,Disagree,encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly  Agree,Strongly  Agree,Agree,Agree,Agree,have postive influence on how learners have the interest on the area of specialization,helps in our school by having enough revision material and enough chemicals for practical work
68059,Teacher,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,UnDecided,Agree,Agree,UnDecided,Disagree,None,None,Agree,Agree,Agree,Agree,Agree,None,enhances competition among student
